id,codigo,nombre,categoria,precio_base,estado
373,SKU-00000373,Producto 00000373,ELECTRONICA,358219.33,ACTIVO
374,SKU-00000374,Producto 00000374,PAPELERIA,487142.35,ACTIVO
375,SKU-00000375,Producto 00000375,TEXTIL,48518.47,ACTIVO
376,SKU-00000376,Producto 00000376,FERRETERIA,221523.4,ACTIVO
377,SKU-00000377,Producto 00000377,ALIMENTOS,153774.56,ACTIVO
378,SKU-00000378,Producto 00000378,BEBIDAS,24422.41,ACTIVO
379,SKU-00000379,Producto 00000379,ASEO,330949.87,ACTIVO
380,SKU-00000380,Producto 00000380,HOGAR,409255.75,ACTIVO
381,SKU-00000381,Producto 00000381,ELECTRONICA,51974.2,ACTIVO
382,SKU-00000382,Producto 00000382,PAPELERIA,380531.22,ACTIVO
383,SKU-00000383,Producto 00000383,TEXTIL,223494.02,ACTIVO
384,SKU-00000384,Producto 00000384,FERRETERIA,403100.45,ACTIVO
385,SKU-00000385,Producto 00000385,ALIMENTOS,450773.82,ACTIVO
386,SKU-00000386,Producto 00000386,BEBIDAS,42751.17,ACTIVO
387,SKU-00000387,Producto 00000387,ASEO,405725.15,ACTIVO
388,SKU-00000388,Producto 00000388,HOGAR,219392.32,ACTIVO
389,SKU-00000389,Producto 00000389,ELECTRONICA,474827.43,ACTIVO
390,SKU-00000390,Producto 00000390,PAPELERIA,219180.55,ACTIVO
391,SKU-00000391,Producto 00000391,TEXTIL,490722.98,ACTIVO
392,SKU-00000392,Producto 00000392,FERRETERIA,429059.75,ACTIVO
393,SKU-00000393,Producto 00000393,ALIMENTOS,163369.02,ACTIVO
394,SKU-00000394,Producto 00000394,BEBIDAS,171747.08,ACTIVO
395,SKU-00000395,Producto 00000395,ASEO,280712.03,ACTIVO
396,SKU-00000396,Producto 00000396,HOGAR,244276.53,ACTIVO
397,SKU-00000397,Producto 00000397,ELECTRONICA,317536.78,ACTIVO
398,SKU-00000398,Producto 00000398,PAPELERIA,211992.48,ACTIVO
399,SKU-00000399,Producto 00000399,TEXTIL,89738.95,ACTIVO
400,SKU-00000400,Producto 00000400,FERRETERIA,124304.08,ACTIVO
401,SKU-00000401,Producto 00000401,ALIMENTOS,240969.53,ACTIVO
402,SKU-00000402,Producto 00000402,BEBIDAS,381264.62,ACTIVO
403,SKU-00000403,Producto 00000403,ASEO,267871.49,ACTIVO
404,SKU-00000404,Producto 00000404,HOGAR,169240.37,ACTIVO
405,SKU-00000405,Producto 00000405,ELECTRONICA,271916.65,ACTIVO
406,SKU-00000406,Producto 00000406,PAPELERIA,402673.74,ACTIVO
407,SKU-00000407,Producto 00000407,TEXTIL,241308.45,ACTIVO
408,SKU-00000408,Producto 00000408,FERRETERIA,492838.9,ACTIVO
409,SKU-00000409,Producto 00000409,ALIMENTOS,275635.29,ACTIVO
410,SKU-00000410,Producto 00000410,BEBIDAS,154925.73,ACTIVO
411,SKU-00000411,Producto 00000411,ASEO,427954.97,ACTIVO
412,SKU-00000412,Producto 00000412,HOGAR,176543.02,ACTIVO
413,SKU-00000413,Producto 00000413,ELECTRONICA,91003.38,ACTIVO
414,SKU-00000414,Producto 00000414,PAPELERIA,37311.53,ACTIVO
415,SKU-00000415,Producto 00000415,TEXTIL,229073.86,ACTIVO
416,SKU-00000416,Producto 00000416,FERRETERIA,216828.66,ACTIVO
417,SKU-00000417,Producto 00000417,ALIMENTOS,394941.25,ACTIVO
418,SKU-00000418,Producto 00000418,BEBIDAS,225453.41,ACTIVO
419,SKU-00000419,Producto 00000419,ASEO,356002.63,ACTIVO
420,SKU-00000420,Producto 00000420,HOGAR,102009.11,ACTIVO
421,SKU-00000421,Producto 00000421,ELECTRONICA,111623.73,ACTIVO
422,SKU-00000422,Producto 00000422,PAPELERIA,382499.39,ACTIVO
423,SKU-00000423,Producto 00000423,TEXTIL,408819.77,ACTIVO
424,SKU-00000424,Producto 00000424,FERRETERIA,229664.52,ACTIVO
425,SKU-00000425,Producto 00000425,ALIMENTOS,217870.72,ACTIVO
426,SKU-00000426,Producto 00000426,BEBIDAS,203432.63,ACTIVO
427,SKU-00000427,Producto 00000427,ASEO,262599.76,ACTIVO
428,SKU-00000428,Producto 00000428,HOGAR,393563.97,ACTIVO
429,SKU-00000429,Producto 00000429,ELECTRONICA,355488.77,ACTIVO
430,SKU-00000430,Producto 00000430,PAPELERIA,365130.24,ACTIVO
431,SKU-00000431,Producto 00000431,TEXTIL,457995.45,ACTIVO
432,SKU-00000432,Producto 00000432,FERRETERIA,423653.29,ACTIVO
433,SKU-00000433,Producto 00000433,ALIMENTOS,11244.87,ACTIVO
434,SKU-00000434,Producto 00000434,BEBIDAS,400590.59,ACTIVO
435,SKU-00000435,Producto 00000435,ASEO,121402.46,ACTIVO
436,SKU-00000436,Producto 00000436,HOGAR,18851.32,ACTIVO
437,SKU-00000437,Producto 00000437,ELECTRONICA,186617.65,ACTIVO
438,SKU-00000438,Producto 00000438,PAPELERIA,426124.7,ACTIVO
439,SKU-00000439,Producto 00000439,TEXTIL,98.95,ACTIVO
440,SKU-00000440,Producto 00000440,FERRETERIA,405289.28,ACTIVO
441,SKU-00000441,Producto 00000441,ALIMENTOS,145406.51,ACTIVO
442,SKU-00000442,Producto 00000442,BEBIDAS,198159.43,ACTIVO
443,SKU-00000443,Producto 00000443,ASEO,250614.86,ACTIVO
444,SKU-00000444,Producto 00000444,HOGAR,90114.43,ACTIVO
445,SKU-00000445,Producto 00000445,ELECTRONICA,344996.66,ACTIVO
446,SKU-00000446,Producto 00000446,PAPELERIA,165704.0,ACTIVO
447,SKU-00000447,Producto 00000447,TEXTIL,416649.66,ACTIVO
448,SKU-00000448,Producto 00000448,FERRETERIA,211139.35,ACTIVO
449,SKU-00000449,Producto 00000449,ALIMENTOS,122421.02,ACTIVO
450,SKU-00000450,Producto 00000450,BEBIDAS,96673.27,ACTIVO
451,SKU-00000451,Producto 00000451,ASEO,233455.27,ACTIVO
452,SKU-00000452,Producto 00000452,HOGAR,416353.81,ACTIVO
453,SKU-00000453,Producto 00000453,ELECTRONICA,116586.37,ACTIVO
454,SKU-00000454,Producto 00000454,PAPELERIA,445013.6,ACTIVO
455,SKU-00000455,Producto 00000455,TEXTIL,420632.55,ACTIVO
456,SKU-00000456,Producto 00000456,FERRETERIA,396639.81,ACTIVO
457,SKU-00000457,Producto 00000457,ALIMENTOS,221687.54,ACTIVO
458,SKU-00000458,Producto 00000458,BEBIDAS,88264.08,ACTIVO
459,SKU-00000459,Producto 00000459,ASEO,20507.24,ACTIVO
460,SKU-00000460,Producto 00000460,HOGAR,469392.61,ACTIVO
461,SKU-00000461,Producto 00000461,ELECTRONICA,418903.84,ACTIVO
462,SKU-00000462,Producto 00000462,PAPELERIA,466159.14,ACTIVO
463,SKU-00000463,Producto 00000463,TEXTIL,69345.4,ACTIVO
464,SKU-00000464,Producto 00000464,FERRETERIA,233146.0,ACTIVO
465,SKU-00000465,Producto 00000465,ALIMENTOS,332831.61,ACTIVO
466,SKU-00000466,Producto 00000466,BEBIDAS,176306.16,ACTIVO
467,SKU-00000467,Producto 00000467,ASEO,113616.77,ACTIVO
468,SKU-00000468,Producto 00000468,HOGAR,14799.78,ACTIVO
469,SKU-00000469,Producto 00000469,ELECTRONICA,79278.08,ACTIVO
470,SKU-00000470,Producto 00000470,PAPELERIA,435385.54,ACTIVO
471,SKU-00000471,Producto 00000471,TEXTIL,387453.81,ACTIVO
472,SKU-00000472,Producto 00000472,FERRETERIA,60128.71,ACTIVO
473,SKU-00000473,Producto 00000473,ALIMENTOS,297705.3,ACTIVO
474,SKU-00000474,Producto 00000474,BEBIDAS,289307.13,ACTIVO
475,SKU-00000475,Producto 00000475,ASEO,444272.68,ACTIVO
476,SKU-00000476,Producto 00000476,HOGAR,388113.89,ACTIVO
477,SKU-00000477,Producto 00000477,ELECTRONICA,254101.9,ACTIVO
478,SKU-00000478,Producto 00000478,PAPELERIA,105401.97,ACTIVO
479,SKU-00000479,Producto 00000479,TEXTIL,42985.54,ACTIVO
480,SKU-00000480,Producto 00000480,FERRETERIA,98825.8,ACTIVO
481,SKU-00000481,Producto 00000481,ALIMENTOS,103622.07,ACTIVO
482,SKU-00000482,Producto 00000482,BEBIDAS,79826.37,ACTIVO
483,SKU-00000483,Producto 00000483,ASEO,87975.72,ACTIVO
484,SKU-00000484,Producto 00000484,HOGAR,186028.09,ACTIVO
485,SKU-00000485,Producto 00000485,ELECTRONICA,401273.72,ACTIVO
486,SKU-00000486,Producto 00000486,PAPELERIA,62160.49,ACTIVO
487,SKU-00000487,Producto 00000487,TEXTIL,322063.16,ACTIVO
488,SKU-00000488,Producto 00000488,FERRETERIA,71300.16,ACTIVO
489,SKU-00000489,Producto 00000489,ALIMENTOS,464768.6,ACTIVO
490,SKU-00000490,Producto 00000490,BEBIDAS,111199.48,ACTIVO
491,SKU-00000491,Producto 00000491,ASEO,428020.91,ACTIVO
492,SKU-00000492,Producto 00000492,HOGAR,481989.08,ACTIVO
493,SKU-00000493,Producto 00000493,ELECTRONICA,239036.46,ACTIVO
494,SKU-00000494,Producto 00000494,PAPELERIA,14703.01,ACTIVO
495,SKU-00000495,Producto 00000495,TEXTIL,139067.09,ACTIVO
496,SKU-00000496,Producto 00000496,FERRETERIA,166298.31,ACTIVO
497,SKU-00000497,Producto 00000497,ALIMENTOS,181.72,ACTIVO
498,SKU-00000498,Producto 00000498,BEBIDAS,164035.35,ACTIVO
499,SKU-00000499,Producto 00000499,ASEO,374755.77,ACTIVO
500,SKU-00000500,Producto 00000500,HOGAR,252972.66,ACTIVO
